sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,qty,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,additional_images,related_skus,configurable_variations,additional_attributes
OC-10-DELUX-0299-HAR-BLK,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Black Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-black-multibuy-1,"Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-0299-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-0299-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-0299-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-0299-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",,,,color=BLACK
OC-10-DELUX-0399-HAR-BLK,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Black Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-black-multibuy-2,"Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-0399-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-0399-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-0399-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-0399-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",,,,color=COFFEE
OC-10-DELUX-D499-HAR-BLK,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Black Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-black-multibuy-3,"Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-d499-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d499-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d499-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d499-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",,,,color=MOCHA
OC-10-DELUX-D599-HAR-BLK,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Black Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-black-multibuy-4,"Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",,,,color=LATTE
OC-10-DELUX-D599-HAR-BLK-G,,Default,configurable,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Black Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. Jamaican...",,,1,"Taxable Goods","Catalog, Search",,,,,deluxe-cube-set-harbour-parasol-black-multibuy-grouped,"Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","Deluxe Cube Set & Harbour Parasol Black Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",,/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",/oc-10-delux-d599-har-blk.jpg,"deluxe-cube-set-harbour-parasol-black-multibuy imagen",,,,,"sku=OC-10-DELUX-0299-HAR-BLK,color=BLACK|sku=OC-10-DELUX-0399-HAR-BLK,color=COFFEE|sku=OC-10-DELUX-D499-HAR-BLK,color=MOCHA|sku=OC-10-DELUX-D599-HAR-BLK,color=LATTE",
OC-10-DELUX-0299-HAR-NAT,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. The Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-natural-multibuy-1,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-0299-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-0299-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-0299-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-0299-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",,,,color=BLACK
OC-10-DELUX-0399-HAR-NAT,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. The Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-natural-multibuy-2,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-0399-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-0399-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-0399-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-0399-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",,,,color=COFFEE
OC-10-DELUX-D499-HAR-NAT,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. The Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-natural-multibuy-3,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-d499-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d499-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d499-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d499-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",,,,color=MOCHA
OC-10-DELUX-D599-HAR-NAT,,Default,simple,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. The Jamaican...",,,1,"Taxable Goods","Not Visible Individually",2849.00,,,,deluxe-cube-set-harbour-parasol-natural-multibuy-4,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",,,,color=LATTE
OC-10-DELUX-D599-HAR-NAT-G,,Default,configurable,"Default Category/Rattan Garden Furniture",base,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","The simple and compact design of the Jamaican Deluxe Cube, designed by Oceans Outdoor Furniture, is the height of opulence and luxury and will complement your outdoor space perfectly. The Jamaican...",,,1,"Taxable Goods","Catalog, Search",,,,,deluxe-cube-set-harbour-parasol-natural-multibuy-grouped,"Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","Deluxe Cube Set & Harbour Parasol Natural Multibuy","2017-04-14 12:16:15","2017-04-14 12:16:15",,/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",/oc-10-delux-d599-har-nat.jpg,"deluxe-cube-set-harbour-parasol-natural-multibuy imagen",,,,,"sku=OC-10-DELUX-0299-HAR-NAT,color=BLACK|sku=OC-10-DELUX-0399-HAR-NAT,color=COFFEE|sku=OC-10-DELUX-D499-HAR-NAT,color=MOCHA|sku=OC-10-DELUX-D599-HAR-NAT,color=LATTE",
OC-10-DELUX-WC,,Default,simple,"Default Category/Garden Furniture Accessories",base,"Deluxe Cube Weather Cover","Protect your outdoor Cube furniture with this deluxe weather proof cover.",,,1,"Taxable Goods","Catalog, Search",189.00,,,,deluxe-cube-weather-cover-1,"Deluxe Cube Weather Cover","Deluxe Cube Weather Cover","Deluxe Cube Weather Cover","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-delux-wc.jpg,"deluxe-cube-weather-cover imagen",/oc-10-delux-wc.jpg,"deluxe-cube-weather-cover imagen",/oc-10-delux-wc.jpg,"deluxe-cube-weather-cover imagen",/oc-10-delux-wc.jpg,"deluxe-cube-weather-cover imagen",,,,
OC-10-DENIA-0299,,Default,simple,"Default Category/Garden Furniture Accessories",base,"Denia Pod Chair","The Denia Pod Chair has been designed to provide probably the most luxurious seating ever seen with a woven Poly Rattan product. The sumptuous deep curved chair has a 12cm foam and fibre...",,,1,"Taxable Goods","Not Visible Individually",399.00,,,,denia-pod-chair-1,"Denia Pod Chair","Denia Pod Chair","Denia Pod Chair","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-denia-0299.jpg,"denia-pod-chair imagen",/oc-10-denia-0299.jpg,"denia-pod-chair imagen",/oc-10-denia-0299.jpg,"denia-pod-chair imagen",/oc-10-denia-0299.jpg,"denia-pod-chair imagen",,,,color=BLACK
